StationNumber;StartDate; EndDate;Latitude;Longitude;Elevation;StationName                             ;RegioName             ;EOR
        55405; 20040608;20221124; 47.2894;  20.8903;     87.3;Karcag                                  ;Jász-Nagykun-Szolnok  ;EOR
        55507; 20110905;20221124; 47.1172;  20.2311;     88.8;Szolnok repülőtér                       ;Jász-Nagykun-Szolnok  ;EOR
        55808; 20140528;20221124; 47.0956;  20.7517;     83.2;Túrkeve                                 ;Jász-Nagykun-Szolnok  ;EOR
        56312; 20200129;20221124; 46.8697;  20.5275;     85.0;Szarvas                                 ;Békés                 ;EOR
        57202; 19990418;20221124; 46.6131;  20.2861;     79.3;Szentes repülőtér                       ;Csongrád-Csanád       ;EOR
        57311; 20001031;20221124; 46.5442;  20.6875;     87.8;Orosháza                                ;Békés                 ;EOR
        58102; 19971208;20221124; 46.2472;  20.1406;    103.9;Szeged belterület                       ;Csongrád-Csanád       ;EOR
        58116; 20191130;20221124; 46.2561;  20.0906;     81.0;Szeged külterület                       ;Csongrád-Csanád       ;EOR
        58213; 20140522;20221124; 46.1900;  20.3992;     79.7;Kiszombor                               ;Csongrád-Csanád       ;EOR
        58300; 19970925;20221124; 46.3172;  20.7367;     93.8;Pitvaros                                ;Csongrád-Csanád       ;EOR
        61104; 19980323;20221124; 48.5106;  21.2350;    156.1;Hidasnémeti                             ;Borsod-Abaúj-Zemplén  ;EOR
        61617; 19990527;20221124; 48.3333;  21.3331;    410.3;Baskó                                   ;Borsod-Abaúj-Zemplén  ;EOR
        61700; 20170829;20221124; 48.3369;  21.5708;    119.0;Sárospatak Malomkőgyár                  ;Borsod-Abaúj-Zemplén  ;EOR
        61709; 19971120;20221124; 48.3808;  21.6589;     99.4;Sátoraljaújhely                         ;Borsod-Abaúj-Zemplén  ;EOR
        62414; 20210825;20221124; 48.2350;  21.7994;    100.0;Tiszacsermely                           ;Borsod-Abaúj-Zemplén  ;EOR
        62612; 20001128;20221124; 48.1450;  21.3344;    123.8;Tarcal                                  ;Borsod-Abaúj-Zemplén  ;EOR
        62707; 20210420;20221124; 48.0683;  21.6053;    105.0;Buj Nádastótanya                        ;Szabolcs-Szatmár-Bereg;EOR
        63101; 20051104;20221124; 47.9311;  21.0539;     93.7;Tiszaújváros                            ;Borsod-Abaúj-Zemplén  ;EOR
        63210; 20210610;20221124; 47.9714;  21.4803;     95.0;Tiszavasvári külterület                 ;Szabolcs-Szatmár-Bereg;EOR
        63305; 20210325;20221124; 47.9808;  21.6911;    103.0;Nyíregyháza repülőtér                   ;Szabolcs-Szatmár-Bereg;EOR
        63413; 20200316;20221124; 47.9622;  21.8869;    141.0;Napkor                                  ;Szabolcs-Szatmár-Bereg;EOR
        63502; 19971220;20221124; 47.8031;  21.1378;     91.7;Folyás                                  ;Hajdú-Bihar           ;EOR
        63707; 19990428;20221124; 47.8217;  21.6714;    124.7;Újfehértó                               ;Szabolcs-Szatmár-Bereg;EOR
        64209; 20210806;20221124; 47.5378;  21.3092;     89.0;Nagyhegyes Elep                         ;Hajdú-Bihar           ;EOR
        64310; 20200130;20221124; 47.5767;  21.5825;    125.0;Debrecen Kismacs                        ;Hajdú-Bihar           ;EOR
        64711; 20161015;20221124; 47.4844;  21.6056;    106.6;Debrecen repülőtér                      ;Hajdú-Bihar           ;EOR
        64713; 20210623;20221124; 47.3653;  21.5497;     97.0;Derecske Petőfi major                   ;Hajdú-Bihar           ;EOR
        65105; 19981207;20221124; 47.2308;  21.1472;     85.3;Szerep                                  ;Hajdú-Bihar           ;EOR
        65700; 19971022;20221124; 47.0197;  21.5942;     94.5;Körösszakál                             ;Hajdú-Bihar           ;EOR
        66103; 20050624;20221124; 46.9778;  21.0544;     84.4;Körösladány                             ;Békés                 ;EOR
        66522; 20191213;20221124; 46.6797;  21.1608;     87.0;Békéscsaba repülőtér                    ;Békés                 ;EOR
        67507; 20140627;20221124; 46.4283;  21.2436;    100.2;Lőkösháza                               ;Békés                 ;EOR
        71505; 19960726;20221124; 48.3986;  22.1775;    103.5;Záhony                                  ;Szabolcs-Szatmár-Bereg;EOR
        72512; 20210614;20221124; 48.1006;  22.0461;    104.0;Nyírtass                                ;Szabolcs-Szatmár-Bereg;EOR
        72618; 20200205;20221124; 48.1250;  22.2981;    109.0;Vásárosnamény                           ;Szabolcs-Szatmár-Bereg;EOR
        72805; 19981231;20221124; 48.1042;  22.7694;    114.7;Milota                                  ;Szabolcs-Szatmár-Bereg;EOR
        73110; 20210906;20221124; 47.8636;  22.2222;    150.0;Nyírkáta Herczeghtanya                  ;Szabolcs-Szatmár-Bereg;EOR
        73313; 20140605;20221124; 47.8456;  22.6631;    117.6;Csenger                                 ;Szabolcs-Szatmár-Bereg;EOR
        73505; 19980311;20221124; 47.6961;  22.0569;    155.7;Nyírlugos                               ;Szabolcs-Szatmár-Bereg;EOR
        74500; 20140612;20221124; 47.4400;  22.0011;    124.2;Bagamér                                 ;Hajdú-Bihar           ;EOR
